Congress,Name,District,Party,State,ImageUrl,Term
119,"Foushee, Valerie P.",4.0,Democratic,North Carolina,https://www.congress.gov/img/member/f000477_200.jpg,House of Representatives: 2023
119,"Gottheimer, Josh",5.0,Democratic,New Jersey,https://www.congress.gov/img/member/115_rp_nj_5_gottheimer_josh_200.jpg,House of Representatives: 2017
119,"Onder, Robert",3.0,Republican,Missouri,https://www.congress.gov/img/member/67744f970b34857ecc909161_200.jpg,House of Representatives: 2025
119,"Olszewski, Johnny",2.0,Democratic,Maryland,https://www.congress.gov/img/member/67744f4e0b34857ecc90915b_200.jpg,House of Representatives: 2025
119,"McDonald Rivet, Kristen",8.0,Democratic,Michigan,https://www.congress.gov/img/member/67744afa0b34857ecc90913d_200.jpg,House of Representatives: 2025
119,"Morrison, Kelly",3.0,Democratic,Minnesota,https://www.congress.gov/img/member/677449a70b34857ecc90912b_200.jpg,House of Representatives: 2025
119,"McClain Delaney, April",6.0,Democratic,Maryland,https://www.congress.gov/img/member/677446d80b34857ecc90911f_200.jpg,House of Representatives: 2025
119,"King-Hinds, Kimberlyn",0.0,Republican,Northern Mariana Islands,https://www.congress.gov/img/member/67742f0a0b34857ecc9090fb_200.jpg,House of Representatives: 2025
119,"Elfreth, Sarah",3.0,Democratic,Maryland,https://www.congress.gov/img/member/677425dc0b34857ecc909089_200.jpg,House of Representatives: 2025
119,"Bell, Wesley",1.0,Democratic,Missouri,https://www.congress.gov/img/member/677422240b34857ecc90904a_200.jpg,House of Representatives: 2025
119,"Barrett, Tom",7.0,Republican,Michigan,https://www.congress.gov/img/member/6774207d0b34857ecc909034_200.jpg,House of Representatives: 2025
119,"Thanedar, Shri",13.0,Democratic,Michigan,https://www.congress.gov/img/member/t000488_200.jpg,House of Representatives: 2023
119,"James, John",10.0,Republican,Michigan,https://www.congress.gov/img/member/j000307_200.jpg,House of Representatives: 2023
119,"Ivey, Glenn",4.0,Democratic,Maryland,https://www.congress.gov/img/member/i000058_200.jpg,House of Representatives: 2023
119,"Alford, Mark",4.0,Republican,Missouri,https://www.congress.gov/img/member/a000379_200.jpg,House of Representatives: 2023
119,"Finstad, Brad",1.0,Republican,Minnesota,https://www.congress.gov/img/member/f000475_200.jpg,House of Representatives: 2022
119,"McClain, Lisa C.",9.0,Republican,Michigan,https://www.congress.gov/img/member/677836d41658e791a384976d_200.jpg,House of Representatives: 2021
119,"Fischbach, Michelle",7.0,Republican,Minnesota,https://www.congress.gov/img/member/f000470_200.jpg,House of Representatives: 2021
119,"Golden, Jared F.",2.0,Democratic,Maine,https://www.congress.gov/img/member/g000592_200.jpg,House of Representatives: 2019
119,"Craig, Angie",2.0,Democratic,Minnesota,https://www.congress.gov/img/member/c001119_200.jpg,House of Representatives: 2019
119,"Trahan, Lori",3.0,Democratic,Massachusetts,https://www.congress.gov/img/member/t000482_200.jpg,House of Representatives: 2019
119,"Emmer, Tom",6.0,Republican,Minnesota,https://www.congress.gov/img/member/e000294_200.jpg,House of Representatives: 2015
119,"Keating, William R.",9.0,Democratic,Massachusetts,https://www.congress.gov/img/member/k000375_200.jpg,House of Representatives: 2011
119,"Shreve, Jefferson",6.0,Republican,Indiana,https://www.congress.gov/img/member/67745f0e0b34857ecc90918b_200.jpg,House of Representatives: 2025
119,"Schmidt, Derek",2.0,Republican,Kansas,https://www.congress.gov/img/member/67745ec50b34857ecc909185_200.jpg,House of Representatives: 2025
119,"Messmer, Mark",8.0,Republican,Indiana,https://www.congress.gov/img/member/677448630b34857ecc909125_200.jpg,House of Representatives: 2025
119,"Tokuda, Jill N.",2.0,Democratic,Hawaii,https://www.congress.gov/img/member/t000487_200.jpg,House of Representatives: 2023
119,"Sorensen, Eric",17.0,Democratic,Illinois,https://www.congress.gov/img/member/s001225_200.jpg,House of Representatives: 2023
119,"Nunn, Zachary",3.0,Republican,Iowa,https://www.congress.gov/img/member/n000193_200.jpg,House of Representatives: 2023
119,"Jackson, Jonathan L.",1.0,Democratic,Illinois,https://www.congress.gov/img/member/j000309_200.jpg,House of Representatives: 2023
119,"Houchin, Erin",9.0,Republican,Indiana,https://www.congress.gov/img/member/h001093_200.jpg,House of Representatives: 2023
119,"Budzinski, Nikki",13.0,Democratic,Illinois,https://www.congress.gov/img/member/b001315_200.jpg,House of Representatives: 2023
119,"Miller-Meeks, Mariannette",1.0,Republican,Iowa,https://www.congress.gov/img/member/m001215_200.jpg,House of Representatives: 2021
119,"Mrvan, Frank J.",1.0,Democratic,Indiana,https://www.congress.gov/img/member/m001214_200.jpg,House of Representatives: 2021
