LastName,Name,State,District,Party,Term,ImageUrl
Harris,"Harris, Mark",North Carolina,8.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742d1b0b34857ecc9090dd_200.jpg
Harrigan,"Harrigan, Pat",North Carolina,10.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742ca40b34857ecc9090d7_200.jpg
Fedorchak,"Fedorchak, Julie",North Dakota,0.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677426c20b34857ecc90909b_200.jpg
Downing,"Downing, Troy",Montana,2.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/677424da0b34857ecc909077_200.jpg
Conaway,"Conaway, Herbert",New Jersey,3.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/6774243a0b34857ecc90906b_200.jpg
Foushee,"Foushee, Valerie P.",North Carolina,4.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/f000477_200.jpg
Gottheimer,"Gottheimer, Josh",New Jersey,5.0,Democratic,House of Representatives: 2017,https://www.congress.gov/img/member/115_rp_nj_5_gottheimer_josh_200.jpg
Onder,"Onder, Robert",Missouri,3.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67744f970b34857ecc909161_200.jpg
Olszewski,"Olszewski, Johnny",Maryland,2.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67744f4e0b34857ecc90915b_200.jpg
McDonald Rivet,"McDonald Rivet, Kristen",Michigan,8.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/67744afa0b34857ecc90913d_200.jpg
Morrison,"Morrison, Kelly",Minnesota,3.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677449a70b34857ecc90912b_200.jpg
McClain Delaney,"McClain Delaney, April",Maryland,6.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677446d80b34857ecc90911f_200.jpg
King-Hinds,"King-Hinds, Kimberlyn",Northern Mariana Islands,0.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/67742f0a0b34857ecc9090fb_200.jpg
Elfreth,"Elfreth, Sarah",Maryland,3.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677425dc0b34857ecc909089_200.jpg
Bell,"Bell, Wesley",Missouri,1.0,Democratic,House of Representatives: 2025,https://www.congress.gov/img/member/677422240b34857ecc90904a_200.jpg
Barrett,"Barrett, Tom",Michigan,7.0,Republican,House of Representatives: 2025,https://www.congress.gov/img/member/6774207d0b34857ecc909034_200.jpg
Thanedar,"Thanedar, Shri",Michigan,13.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/t000488_200.jpg
James,"James, John",Michigan,10.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/j000307_200.jpg
Ivey,"Ivey, Glenn",Maryland,4.0,Democratic,House of Representatives: 2023,https://www.congress.gov/img/member/i000058_200.jpg
Alford,"Alford, Mark",Missouri,4.0,Republican,House of Representatives: 2023,https://www.congress.gov/img/member/a000379_200.jpg
Finstad,"Finstad, Brad",Minnesota,1.0,Republican,House of Representatives: 2022,https://www.congress.gov/img/member/f000475_200.jpg
McClain,"McClain, Lisa C.",Michigan,9.0,Republican,House of Representatives: 2021,https://www.congress.gov/img/member/677836d41658e791a384976d_200.jpg
